epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.9173,1.16515,3.99952,1.47654,0.6597,0.13134,0.13325,0.10146,1.23746,2.75914,1.65406,8.27703e-05,8.27703e-05,8.27703e-05
2,98.3515,1.1643,2.70845,1.47344,0.79139,0.27635,0.30272,0.21612,1.23416,2.06799,1.64997,0.000164048,0.000164048,0.000164048
3,144.751,1.11578,2.19747,1.43267,0.72836,0.33712,0.36028,0.26788,1.1675,1.8508,1.62763,0.000243263,0.000243263,0.000243263
4,189.895,1.10771,2.01864,1.42598,0.74597,0.31487,0.38637,0.27653,1.20191,1.61695,1.64681,0.000240719,0.000240719,0.000240719
5,236.473,1.07698,1.81729,1.38392,0.69465,0.35935,0.4039,0.29245,1.16845,1.48915,1.58139,0.000237625,0.000237625,0.000237625
6,281.73,1.04589,1.70706,1.37021,0.65263,0.40018,0.41564,0.308,1.12696,1.41219,1.55546,0.000234531,0.000234531,0.000234531
7,327.038,1.03433,1.60746,1.35065,0.60696,0.38277,0.42912,0.30631,1.14544,1.29428,1.56285,0.000231438,0.000231438,0.000231438
8,372.599,1.005,1.51069,1.33306,0.5696,0.38593,0.44381,0.32367,1.14976,1.27256,1.55352,0.000228344,0.000228344,0.000228344
9,417.445,0.9974,1.46494,1.32361,0.72503,0.39811,0.45003,0.32095,1.09014,1.30615,1.51606,0.00022525,0.00022525,0.00022525
10,463.103,1.00199,1.41274,1.31627,0.61173,0.47227,0.47,0.33061,1.12361,1.22156,1.5197,0.000222156,0.000222156,0.000222156
11,508.568,0.99692,1.38349,1.31102,0.71021,0.42747,0.46594,0.33692,1.12084,1.10782,1.49731,0.000219062,0.000219062,0.000219062
12,553.469,0.96334,1.3271,1.30322,0.72461,0.41193,0.46514,0.3423,1.11054,1.16189,1.49144,0.000215969,0.000215969,0.000215969
13,598.858,0.98147,1.29067,1.30103,0.68529,0.43785,0.45628,0.34571,1.07852,1.11956,1.49037,0.000212875,0.000212875,0.000212875
14,643.955,0.96991,1.25985,1.29253,0.63688,0.43008,0.46171,0.33579,1.07134,1.13323,1.47091,0.000209781,0.000209781,0.000209781
15,688.953,0.95183,1.2406,1.28669,0.76965,0.41286,0.48365,0.35051,1.08746,1.04116,1.49046,0.000206688,0.000206688,0.000206688
16,735.048,0.95121,1.22686,1.28366,0.74428,0.43863,0.48591,0.35577,1.09264,1.06767,1.49424,0.000203594,0.000203594,0.000203594
17,780.128,0.94284,1.18592,1.26933,0.74124,0.43799,0.48998,0.35598,1.08639,1.03371,1.49269,0.0002005,0.0002005,0.0002005
18,825.423,0.92105,1.13156,1.27019,0.68065,0.43624,0.47472,0.35656,1.08477,1.00735,1.46443,0.000197406,0.000197406,0.000197406
19,871.377,0.94818,1.1318,1.26173,0.70342,0.46031,0.48255,0.36283,1.03462,0.97131,1.42196,0.000194313,0.000194313,0.000194313
20,916.353,0.89855,1.07454,1.24808,0.71745,0.45452,0.49878,0.35955,1.08846,0.95326,1.46033,0.000191219,0.000191219,0.000191219
21,963.335,0.9354,1.0979,1.26448,0.71078,0.4834,0.49227,0.37115,1.06761,0.99569,1.46547,0.000188125,0.000188125,0.000188125
22,1009.19,0.89296,1.04878,1.23358,0.79455,0.43858,0.54615,0.39128,1.03128,0.98568,1.3977,0.000185031,0.000185031,0.000185031
23,1055.49,0.91838,1.05871,1.25868,0.79732,0.44336,0.54438,0.38361,1.03844,0.98759,1.41349,0.000181937,0.000181937,0.000181937
24,1101.52,0.8957,1.0428,1.23794,0.75169,0.43692,0.48052,0.36303,1.02535,0.96452,1.4186,0.000178844,0.000178844,0.000178844
25,1146.59,0.90675,1.03269,1.25199,0.74445,0.48666,0.56616,0.39213,1.04102,0.9299,1.4154,0.00017575,0.00017575,0.00017575
26,1193,0.89666,0.9952,1.23775,0.75409,0.45877,0.53699,0.38096,1.03613,0.94752,1.39775,0.000172656,0.000172656,0.000172656
27,1238.7,0.85972,0.96159,1.21904,0.8147,0.4343,0.54029,0.38639,1.01305,0.96381,1.39462,0.000169563,0.000169563,0.000169563
28,1284.02,0.89535,0.988,1.23526,0.80757,0.47399,0.58306,0.40158,1.02015,0.93313,1.39574,0.000166469,0.000166469,0.000166469
29,1330.88,0.879,0.97376,1.21946,0.7375,0.45412,0.56619,0.39957,1.04026,0.98455,1.43154,0.000163375,0.000163375,0.000163375
30,1375.62,0.86723,0.93624,1.22115,0.81018,0.48132,0.58758,0.41517,1.00345,0.88903,1.39653,0.000160281,0.000160281,0.000160281
31,1421.45,0.87756,0.94537,1.21394,0.80209,0.47829,0.56765,0.40032,1.00954,0.851,1.39878,0.000157188,0.000157188,0.000157188
32,1467.06,0.86618,0.91079,1.21627,0.82651,0.44914,0.55371,0.386,1.0066,0.9102,1.38744,0.000154094,0.000154094,0.000154094
33,1512.32,0.8619,0.91146,1.21554,0.79883,0.4789,0.57525,0.39977,1.02586,0.90722,1.40959,0.000151,0.000151,0.000151
34,1558.79,0.85647,0.908,1.20731,0.80106,0.48404,0.59228,0.41814,0.99865,0.84127,1.37169,0.000147906,0.000147906,0.000147906
35,1604.45,0.83665,0.8681,1.20527,0.72831,0.47902,0.58206,0.40022,1.02826,0.90919,1.41221,0.000144812,0.000144812,0.000144812
36,1650.63,0.83668,0.86957,1.20187,0.82681,0.46166,0.58023,0.41143,1.00506,0.88586,1.36734,0.000141719,0.000141719,0.000141719
