epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.6827,0.82539,1.92836,1.19101,0.94125,0.91113,0.92553,0.74458,0.77846,0.80752,1.10615,0.000301597,0.000301597,0.000301597
2,150.582,0.78142,1.03296,1.12662,0.93284,0.88313,0.92143,0.74634,0.79273,0.82901,1.1465,0.000597115,0.000597115,0.000597115
3,223.25,0.79272,0.87178,1.12846,0.90642,0.84428,0.90339,0.70828,0.83717,0.76254,1.17255,0.000885134,0.000885134,0.000885134
4,294.774,0.7783,0.75085,1.11903,0.92819,0.88426,0.91964,0.739,0.80557,0.69865,1.09992,0.000875253,0.000875253,0.000875253
5,365.734,0.74152,0.64404,1.10117,0.96214,0.89182,0.93692,0.7853,0.71349,0.59078,1.04201,0.000864004,0.000864004,0.000864004
6,438.155,0.73589,0.61533,1.09204,0.95832,0.93232,0.9474,0.79791,0.68373,0.50747,1.00939,0.000852756,0.000852756,0.000852756
7,509.097,0.69683,0.56048,1.07165,0.92333,0.91531,0.93064,0.76311,0.71902,0.5649,1.04885,0.000841507,0.000841507,0.000841507
8,580.526,0.6975,0.54378,1.07658,0.97271,0.92822,0.95779,0.81695,0.63595,0.4531,0.98822,0.000830258,0.000830258,0.000830258
9,650.976,0.69812,0.51336,1.07236,0.95259,0.93846,0.94272,0.79711,0.67774,0.4863,1.01236,0.000819009,0.000819009,0.000819009
10,721.09,0.69442,0.52174,1.069,0.93934,0.93569,0.94824,0.81411,0.65374,0.47473,0.98965,0.00080776,0.00080776,0.00080776
11,791.601,0.66557,0.48357,1.05287,0.9736,0.92557,0.94759,0.81331,0.64477,0.47352,0.97979,0.000796511,0.000796511,0.000796511
12,865.565,0.67387,0.48343,1.05557,0.95227,0.9396,0.95756,0.82101,0.65092,0.42673,0.98296,0.000785262,0.000785262,0.000785262
13,934.944,0.64916,0.46462,1.04308,0.96408,0.92059,0.95135,0.82033,0.62286,0.44446,0.97082,0.000774013,0.000774013,0.000774013
14,1003.61,0.64278,0.45423,1.04247,0.96172,0.94953,0.95467,0.8258,0.62242,0.4071,0.96909,0.000762765,0.000762765,0.000762765
15,1073.62,0.6493,0.45211,1.04493,0.96527,0.94207,0.95282,0.81635,0.63534,0.45711,0.98052,0.000751516,0.000751516,0.000751516
16,1142.02,0.64737,0.43645,1.04362,0.97052,0.9388,0.95633,0.82664,0.61922,0.40565,0.96502,0.000740267,0.000740267,0.000740267
17,1210.74,0.64652,0.44139,1.04219,0.965,0.93785,0.95823,0.82636,0.63196,0.40635,0.97342,0.000729018,0.000729018,0.000729018
18,1279.34,0.63738,0.44035,1.038,0.96192,0.94651,0.9613,0.83443,0.61039,0.39839,0.95458,0.000717769,0.000717769,0.000717769
19,1349.26,0.62985,0.43301,1.03316,0.97554,0.93605,0.9615,0.83444,0.60907,0.38928,0.94994,0.00070652,0.00070652,0.00070652
20,1419.18,0.62777,0.41948,1.02967,0.97059,0.93932,0.95232,0.81079,0.64292,0.429,0.97955,0.000695271,0.000695271,0.000695271
21,1487.62,0.61503,0.41613,1.02574,0.96121,0.93661,0.95396,0.83417,0.58712,0.38632,0.94107,0.000684022,0.000684022,0.000684022
22,1556.45,0.61735,0.41342,1.0263,0.96309,0.95034,0.96345,0.83564,0.59303,0.37465,0.93711,0.000672774,0.000672774,0.000672774
23,1629.03,0.62052,0.4173,1.02565,0.96859,0.94323,0.95932,0.83725,0.58865,0.3726,0.94179,0.000661525,0.000661525,0.000661525
24,1701.4,0.6122,0.40793,1.02017,0.96727,0.94098,0.95959,0.83896,0.58674,0.37916,0.94078,0.000650276,0.000650276,0.000650276
25,1772.97,0.61823,0.40512,1.02901,0.96851,0.94681,0.95304,0.83065,0.59495,0.40571,0.9511,0.000639027,0.000639027,0.000639027
26,1844.5,0.5987,0.38739,1.01868,0.96158,0.94768,0.95985,0.83866,0.58843,0.37573,0.93944,0.000627778,0.000627778,0.000627778
27,1914.15,0.60413,0.39897,1.02014,0.97389,0.94097,0.9532,0.83693,0.58446,0.39518,0.9377,0.000616529,0.000616529,0.000616529
