epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.909,0.59612,1.66798,1.14145,0.77584,0.77903,0.81661,0.73337,0.61511,1.36376,1.0585,0.000470453,0.000470453,0.000470453
2,73.1311,0.57842,1.01061,1.09816,0.84768,0.8134,0.86142,0.74847,0.65674,1.20438,1.1181,0.00093507,0.00093507,0.00093507
3,100.979,0.55339,0.83871,1.08018,0.78639,0.74301,0.7997,0.67695,0.66674,1.24879,1.14091,0.0013879,0.0013879,0.0013879
4,136.5,0.5718,0.79627,1.09864,0.90932,0.82222,0.85364,0.70428,0.65909,1.04467,1.06918,0.00137595,0.00137595,0.00137595
5,169.818,0.5234,0.69011,1.06141,0.80855,0.78677,0.82529,0.66816,0.74954,1.07666,1.20639,0.00135826,0.00135826,0.00135826
6,204.747,0.50443,0.60094,1.0479,0.93172,0.86888,0.89406,0.808,0.56523,0.69147,1.02306,0.00134058,0.00134058,0.00134058
7,238.417,0.4994,0.60308,1.05507,0.92575,0.87439,0.90056,0.80652,0.60451,0.70527,1.02186,0.0013229,0.0013229,0.0013229
8,267.247,0.49315,0.55824,1.03877,0.90271,0.84906,0.90577,0.79508,0.60552,0.71831,1.05464,0.00130521,0.00130521,0.00130521
9,294.748,0.47262,0.57226,1.03368,0.94251,0.85167,0.88183,0.82829,0.56345,0.73183,0.99551,0.00128753,0.00128753,0.00128753
10,328.653,0.47223,0.51849,1.02855,0.93166,0.87411,0.90271,0.82802,0.54125,0.6676,0.96241,0.00126985,0.00126985,0.00126985
11,362.703,0.46139,0.51997,1.02521,0.8945,0.8631,0.88713,0.83124,0.52816,0.73562,0.94691,0.00125216,0.00125216,0.00125216
12,396.882,0.47082,0.53376,1.02728,0.92737,0.87652,0.90703,0.80387,0.5695,0.6661,1.0171,0.00123448,0.00123448,0.00123448
13,431.123,0.45021,0.47731,1.01948,0.96044,0.84224,0.89869,0.84062,0.5343,0.63211,0.95758,0.00121679,0.00121679,0.00121679
14,459.75,0.44139,0.4536,1.00833,0.92407,0.8846,0.90043,0.84238,0.4997,0.65106,0.92902,0.00119911,0.00119911,0.00119911
15,492.341,0.44427,0.50218,1.01514,0.94738,0.86797,0.91914,0.84398,0.53118,0.60997,0.97286,0.00118143,0.00118143,0.00118143
16,527.513,0.43182,0.45611,1.00114,0.93817,0.88552,0.90925,0.85483,0.5067,0.61327,0.93949,0.00116374,0.00116374,0.00116374
17,560.733,0.42322,0.44708,0.99662,0.94684,0.83684,0.90222,0.84379,0.48711,0.59367,0.92711,0.00114606,0.00114606,0.00114606
18,596.047,0.41555,0.44451,0.99878,0.92499,0.89827,0.92133,0.86348,0.46802,0.52602,0.92135,0.00112837,0.00112837,0.00112837
19,622.773,0.43302,0.46971,1.00829,0.90899,0.86352,0.91646,0.86738,0.46555,0.55731,0.90881,0.00111069,0.00111069,0.00111069
20,649.553,0.42684,0.45136,1.00702,0.92134,0.88142,0.91627,0.85944,0.47804,0.57466,0.9123,0.00109301,0.00109301,0.00109301
21,676.837,0.42045,0.44608,1.00815,0.9493,0.87907,0.9184,0.86071,0.47662,0.5607,0.91892,0.00107532,0.00107532,0.00107532
22,710.816,0.4284,0.44489,1.00226,0.9431,0.88217,0.91822,0.86668,0.45219,0.51427,0.88637,0.00105764,0.00105764,0.00105764
23,745.232,0.39864,0.41706,0.98452,0.92962,0.89167,0.91926,0.85527,0.45567,0.51615,0.89675,0.00103995,0.00103995,0.00103995
24,778.46,0.38963,0.39589,0.98639,0.94686,0.85828,0.91623,0.84633,0.49603,0.5402,0.91304,0.00102227,0.00102227,0.00102227
25,812.848,0.40869,0.41506,0.99662,0.95064,0.86923,0.90475,0.85559,0.4784,0.60487,0.90441,0.00100459,0.00100459,0.00100459
26,839.113,0.40275,0.42005,0.99545,0.89309,0.87413,0.91891,0.85303,0.4964,0.52193,0.92131,0.000986903,0.000986903,0.000986903
27,866.313,0.3904,0.40563,0.98789,0.93723,0.86459,0.91333,0.8538,0.44816,0.67575,0.89008,0.000969219,0.000969219,0.000969219
28,893.965,0.39382,0.40992,0.9842,0.95343,0.87756,0.91286,0.85684,0.47985,0.54377,0.90659,0.000951535,0.000951535,0.000951535
29,922.111,0.3913,0.39851,0.98237,0.95314,0.8873,0.9255,0.88022,0.44282,0.47548,0.88648,0.000933851,0.000933851,0.000933851
30,955.719,0.39514,0.38753,0.98381,0.94746,0.88405,0.90081,0.86366,0.45217,0.56644,0.89231,0.000916168,0.000916168,0.000916168
31,989.841,0.38787,0.40113,0.97614,0.94988,0.88128,0.91546,0.86788,0.43509,0.51355,0.86923,0.000898484,0.000898484,0.000898484
32,1023.24,0.38141,0.37651,0.97968,0.93861,0.89473,0.92466,0.87595,0.43943,0.47456,0.87916,0.0008808,0.0008808,0.0008808
33,1058.13,0.37485,0.36076,0.97107,0.92713,0.8997,0.92598,0.87075,0.45178,0.48128,0.87663,0.000863116,0.000863116,0.000863116
34,1085.1,0.37794,0.38418,0.97718,0.91146,0.89194,0.92635,0.86972,0.44966,0.50771,0.89385,0.000845432,0.000845432,0.000845432
35,1116.72,0.37053,0.36701,0.97732,0.94365,0.88755,0.92952,0.87864,0.43736,0.48794,0.87913,0.000827748,0.000827748,0.000827748
36,1151.72,0.39358,0.38462,0.98396,0.94838,0.8881,0.91397,0.87382,0.43368,0.48895,0.87861,0.000810064,0.000810064,0.000810064
37,1185.67,0.36344,0.36238,0.96248,0.95611,0.8871,0.92876,0.87375,0.46042,0.48816,0.88709,0.00079238,0.00079238,0.00079238
38,1220.42,0.37895,0.38103,0.97466,0.945,0.88989,0.92748,0.87547,0.44287,0.46777,0.88112,0.000774697,0.000774697,0.000774697
39,1249.21,0.35852,0.37485,0.96849,0.93975,0.89557,0.92754,0.87992,0.43439,0.46779,0.86143,0.000757013,0.000757013,0.000757013
40,1283.89,0.3538,0.35418,0.95554,0.95581,0.88523,0.92244,0.87374,0.43644,0.50231,0.87673,0.000739329,0.000739329,0.000739329
41,1318.92,0.34623,0.32299,0.95263,0.94515,0.88341,0.91888,0.87752,0.4097,0.51266,0.85218,0.000721645,0.000721645,0.000721645
42,1351.85,0.36138,0.34943,0.96695,0.93432,0.90435,0.92643,0.8833,0.42298,0.47671,0.87316,0.000703961,0.000703961,0.000703961
43,1386.39,0.3588,0.3392,0.97324,0.92214,0.90008,0.92878,0.88182,0.43379,0.49963,0.86653,0.000686277,0.000686277,0.000686277
44,1413.54,0.34678,0.34237,0.95839,0.94625,0.88351,0.91669,0.87357,0.42152,0.49379,0.85868,0.000668593,0.000668593,0.000668593
45,1442.39,0.34328,0.33161,0.95622,0.93847,0.88627,0.92159,0.87076,0.43135,0.50689,0.87606,0.000650909,0.000650909,0.000650909
46,1476.14,0.35216,0.34311,0.96331,0.9362,0.89151,0.9262,0.87904,0.42612,0.45974,0.86539,0.000633226,0.000633226,0.000633226
47,1510.83,0.34298,0.35335,0.95734,0.9392,0.88502,0.92839,0.88168,0.42603,0.45614,0.86711,0.000615542,0.000615542,0.000615542
48,1544.55,0.33352,0.33476,0.95265,0.94887,0.88044,0.91728,0.8797,0.41588,0.49377,0.86541,0.000597858,0.000597858,0.000597858
49,1576.54,0.33674,0.33176,0.94998,0.93906,0.89075,0.93187,0.88484,0.43867,0.44813,0.87213,0.000580174,0.000580174,0.000580174
50,1609.78,0.3412,0.32352,0.95845,0.93256,0.88663,0.92562,0.88333,0.41589,0.44871,0.85135,0.00056249,0.00056249,0.00056249
51,1643.77,0.35794,0.32983,0.96262,0.94197,0.88382,0.92462,0.88203,0.4317,0.45184,0.86833,0.000544806,0.000544806,0.000544806
52,1679.21,0.32835,0.30801,0.94893,0.95166,0.87809,0.92048,0.8798,0.42662,0.4759,0.86665,0.000527122,0.000527122,0.000527122
53,1713.2,0.35009,0.33731,0.95593,0.94145,0.88124,0.93004,0.88481,0.40945,0.43694,0.84393,0.000509438,0.000509438,0.000509438
54,1742.94,0.3195,0.31432,0.947,0.95041,0.89186,0.92457,0.88602,0.40686,0.46293,0.84847,0.000491755,0.000491755,0.000491755
55,1770.75,0.33911,0.32691,0.95592,0.93552,0.89378,0.92813,0.88869,0.41693,0.46096,0.85365,0.000474071,0.000474071,0.000474071
56,1803.8,0.32767,0.32065,0.95131,0.94667,0.89186,0.92395,0.88371,0.42654,0.46171,0.8575,0.000456387,0.000456387,0.000456387
57,1837.3,0.33346,0.30398,0.94959,0.93934,0.89431,0.92499,0.88415,0.41567,0.4498,0.84829,0.000438703,0.000438703,0.000438703
58,1872.56,0.33418,0.31511,0.95082,0.94807,0.87011,0.92521,0.88523,0.40616,0.45591,0.84741,0.000421019,0.000421019,0.000421019
59,1905.96,0.31847,0.30631,0.94691,0.94172,0.88447,0.92826,0.88458,0.41813,0.45589,0.85387,0.000403335,0.000403335,0.000403335
60,1934.42,0.31863,0.30333,0.94365,0.94077,0.89067,0.9242,0.88589,0.41856,0.45362,0.86787,0.000385651,0.000385651,0.000385651
61,1970.39,0.32401,0.29942,0.94613,0.93421,0.89618,0.93248,0.89039,0.4171,0.43649,0.86138,0.000367967,0.000367967,0.000367967
62,2003.99,0.32018,0.31093,0.94634,0.94937,0.8799,0.927,0.88044,0.42202,0.45739,0.87242,0.000350284,0.000350284,0.000350284
63,2038.9,0.31831,0.3047,0.94697,0.9509,0.8858,0.92976,0.88914,0.4061,0.43943,0.84839,0.0003326,0.0003326,0.0003326
64,2072.22,0.31163,0.28363,0.93863,0.93936,0.89406,0.93205,0.8907,0.41288,0.43024,0.8509,0.000314916,0.000314916,0.000314916
65,2099.44,0.3259,0.30709,0.9531,0.92788,0.89735,0.93422,0.88959,0.40777,0.43246,0.85447,0.000297232,0.000297232,0.000297232
66,2126.57,0.31407,0.27889,0.94526,0.94932,0.88265,0.92816,0.88571,0.41069,0.44536,0.8575,0.000279548,0.000279548,0.000279548
67,2153.97,0.31554,0.27753,0.94946,0.93961,0.89091,0.93165,0.8899,0.40381,0.42214,0.85255,0.000261864,0.000261864,0.000261864
68,2184.12,0.31571,0.30122,0.94837,0.93541,0.89571,0.92993,0.88854,0.40047,0.42225,0.8442,0.00024418,0.00024418,0.00024418
69,2218.04,0.31964,0.29253,0.94398,0.95612,0.88258,0.92987,0.8895,0.40442,0.43188,0.85446,0.000226497,0.000226497,0.000226497
70,2253.08,0.29755,0.26797,0.93721,0.94268,0.89588,0.9327,0.88942,0.40204,0.43076,0.84688,0.000208813,0.000208813,0.000208813
71,2289.47,0.3022,0.31068,0.92043,0.92603,0.90243,0.93011,0.88881,0.40902,0.43595,0.84573,0.000191129,0.000191129,0.000191129
72,2321.52,0.29244,0.27145,0.92094,0.91379,0.91172,0.93106,0.89228,0.4136,0.44424,0.85291,0.000173445,0.000173445,0.000173445
73,2348.45,0.29169,0.2779,0.92389,0.92811,0.90528,0.93207,0.89323,0.40451,0.42017,0.85264,0.000155761,0.000155761,0.000155761
74,2382.71,0.2894,0.24838,0.92165,0.92993,0.90059,0.93188,0.89219,0.40121,0.43799,0.85219,0.000138077,0.000138077,0.000138077
