epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.3878,1.32068,1.62886,1.20717,0.962,0.96055,0.99079,0.65941,1.09982,1.42517,1.13078,0.000660661,0.000660661,0.000660661
2,74.4382,1.26645,1.10116,1.12812,0.83465,0.94872,0.94051,0.49178,1.41863,1.18198,1.22063,0.00130543,0.00130543,0.00130543
3,108.183,1.28223,0.94039,1.13713,0.95634,0.98422,0.98773,0.62538,1.21844,0.99138,1.11538,0.00192819,0.00192819,0.00192819
4,142.509,1.23168,0.82141,1.11158,0.93605,0.98163,0.98668,0.58189,1.47158,0.78191,1.26849,0.001901,0.001901,0.001901
5,175.28,1.20226,0.7587,1.09689,0.96608,0.99803,0.99259,0.64796,1.12956,0.73037,1.05462,0.001868,0.001868,0.001868
6,209.242,1.16719,0.70969,1.08238,0.99437,0.99803,0.995,0.68522,1.06451,0.68342,1.05259,0.001835,0.001835,0.001835
7,242.932,1.12169,0.6775,1.0625,0.99939,1,0.995,0.66096,1.10203,0.61289,1.02012,0.001802,0.001802,0.001802
8,276.713,1.10119,0.64929,1.05156,1,0.99085,0.995,0.72133,0.97037,0.63071,0.99278,0.001769,0.001769,0.001769
9,311.129,1.08969,0.63509,1.04965,0.99881,1,0.995,0.65288,1.18206,0.64453,1.05035,0.001736,0.001736,0.001736
10,343.916,1.06944,0.60513,1.04033,0.99814,1,0.995,0.67077,1.12509,0.63548,1.04842,0.001703,0.001703,0.001703
11,377.821,1.04962,0.6033,1.03316,0.99895,1,0.995,0.68535,1.07127,0.65164,1.051,0.00167,0.00167,0.00167
12,410.895,1.04014,0.58394,1.02923,0.99735,1,0.995,0.70802,0.99838,0.54976,1.00541,0.001637,0.001637,0.001637
13,444.926,1.01934,0.56232,1.02246,0.99711,1,0.995,0.70805,1.08529,0.55975,1.01653,0.001604,0.001604,0.001604
14,477.873,1.0165,0.55928,1.01986,0.99573,1,0.995,0.74263,0.93823,0.52217,0.97084,0.001571,0.001571,0.001571
15,511.501,1.02183,0.56096,1.03236,0.99949,1,0.995,0.72313,0.96455,0.49338,0.97278,0.001538,0.001538,0.001538
16,544.063,1.01602,0.55224,1.02982,0.99954,0.99803,0.995,0.71276,1.00793,0.54492,1.00139,0.001505,0.001505,0.001505
17,578.162,0.99133,0.54482,1.01623,0.99479,1,0.99498,0.71565,1.04429,0.56888,1.00262,0.001472,0.001472,0.001472
18,611.239,0.98776,0.54462,1.01902,0.99773,1,0.995,0.74595,0.90697,0.48793,0.93592,0.001439,0.001439,0.001439
19,646.159,0.9667,0.52326,1.00525,0.99963,1,0.995,0.76116,0.89671,0.45251,0.95773,0.001406,0.001406,0.001406
20,680.469,0.97528,0.52249,1.01064,0.9995,1,0.995,0.74104,0.96716,0.52307,0.96444,0.001373,0.001373,0.001373
21,713.266,0.96501,0.52121,1.00831,0.99598,1,0.995,0.75376,0.93177,0.48986,0.97681,0.00134,0.00134,0.00134
22,747.427,0.94428,0.50666,1.00558,0.9692,0.99292,0.99257,0.72666,1.00302,0.52822,0.97754,0.001307,0.001307,0.001307
23,780.666,0.96152,0.5103,1.00188,0.9988,1,0.995,0.74323,0.91662,0.51433,0.94295,0.001274,0.001274,0.001274
24,815.389,0.96359,0.50815,1.0091,0.99972,1,0.995,0.75094,0.91207,0.48544,0.93629,0.001241,0.001241,0.001241
25,849.476,0.92707,0.49198,0.99618,0.99974,1,0.995,0.76814,0.89672,0.47334,0.95445,0.001208,0.001208,0.001208
26,883.741,0.94736,0.48862,1.00064,0.99938,1,0.995,0.76646,0.87981,0.46079,0.92118,0.001175,0.001175,0.001175
27,918.257,0.9282,0.4848,0.99567,0.99971,1,0.995,0.75777,0.87345,0.45218,0.91494,0.001142,0.001142,0.001142
28,951.892,0.90574,0.47544,0.9889,0.99985,1,0.995,0.74444,0.92905,0.43114,0.91401,0.001109,0.001109,0.001109
29,986.493,0.90734,0.48126,0.99191,0.99983,1,0.995,0.76922,0.85151,0.41356,0.9108,0.001076,0.001076,0.001076
30,1019.95,0.90274,0.46938,0.98687,0.99934,1,0.995,0.78328,0.86075,0.43496,0.91484,0.001043,0.001043,0.001043
31,1054.38,0.89342,0.4639,0.98712,0.99965,1,0.995,0.7883,0.81608,0.40786,0.88033,0.00101,0.00101,0.00101
32,1088.01,0.89427,0.46289,0.98236,0.99953,1,0.995,0.76433,0.84903,0.4486,0.91329,0.000977,0.000977,0.000977
33,1122.25,0.87646,0.45473,0.98552,0.99922,1,0.995,0.7633,0.87501,0.45072,0.92466,0.000944,0.000944,0.000944
34,1156.61,0.88158,0.4516,0.97564,0.99962,1,0.995,0.78012,0.83324,0.41559,0.89684,0.000911,0.000911,0.000911
35,1190.56,0.89191,0.45587,0.97916,0.99972,1,0.995,0.76739,0.83451,0.39992,0.89515,0.000878,0.000878,0.000878
36,1226.32,0.88087,0.44647,0.98328,0.99888,1,0.995,0.74965,0.91214,0.43243,0.90757,0.000845,0.000845,0.000845
37,1261.41,0.87839,0.44381,0.98678,0.99782,1,0.99447,0.79206,0.82997,0.40463,0.88258,0.000812,0.000812,0.000812
38,1297.56,0.8702,0.44126,0.97654,0.99983,1,0.995,0.79261,0.80667,0.38396,0.87982,0.000779,0.000779,0.000779
