epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.3025,1.49189,2.73641,1.35269,0.79014,0.42941,0.44146,0.27053,1.39075,2.01222,1.32939,0.000413625,0.000413625,0.000413625
2,98.2811,1.39046,1.84802,1.29935,0.8791,0.51,0.54691,0.33058,1.43355,1.48527,1.34321,0.000813852,0.000813852,0.000813852
3,143.755,1.39206,1.6062,1.31124,0.90396,0.45483,0.53958,0.3195,1.43275,1.52758,1.30763,0.00119758,0.00119758,0.00119758
4,188.706,1.36781,1.44864,1.30438,0.91408,0.51351,0.59348,0.35451,1.38448,1.27685,1.35076,0.00117575,0.00117575,0.00117575
5,234.813,1.35865,1.35121,1.29512,0.90878,0.52466,0.62665,0.40243,1.32963,1.26522,1.29759,0.001151,0.001151,0.001151
6,279.515,1.34872,1.28209,1.29344,0.90405,0.55411,0.74788,0.473,1.31432,1.15147,1.30497,0.00112625,0.00112625,0.00112625
7,325.06,1.31136,1.19367,1.26371,0.92255,0.57591,0.68006,0.44861,1.35183,1.08575,1.30919,0.0011015,0.0011015,0.0011015
8,371.029,1.30798,1.12662,1.25933,0.59083,0.76933,0.68174,0.42917,1.30303,1.03439,1.25281,0.00107675,0.00107675,0.00107675
9,416.443,1.27772,1.06934,1.2408,0.92634,0.57539,0.77554,0.48464,1.31006,1.00451,1.27383,0.001052,0.001052,0.001052
10,463.196,1.27578,1.03702,1.24116,0.8804,0.5581,0.75195,0.45741,1.24817,1.09642,1.25346,0.00102725,0.00102725,0.00102725
11,508.466,1.2566,1.02069,1.22683,0.9622,0.57278,0.7901,0.49504,1.26404,0.99214,1.23261,0.0010025,0.0010025,0.0010025
12,553.79,1.26078,0.99934,1.232,0.94562,0.59404,0.78038,0.51724,1.21431,0.94151,1.22946,0.00097775,0.00097775,0.00097775
13,600.411,1.25461,0.96917,1.22629,0.8897,0.76077,0.79331,0.52923,1.21677,0.87698,1.20946,0.000953,0.000953,0.000953
14,646.281,1.24521,0.96137,1.22197,0.53867,0.65011,0.68249,0.45313,1.21377,0.89283,1.24135,0.00092825,0.00092825,0.00092825
15,691.652,1.22171,0.92219,1.20259,0.74632,0.76986,0.71328,0.47552,1.21073,0.88394,1.20813,0.0009035,0.0009035,0.0009035
16,737.493,1.21916,0.91223,1.20213,0.7456,0.76684,0.79634,0.5282,1.19188,0.85683,1.21517,0.00087875,0.00087875,0.00087875
17,781.129,1.20876,0.88852,1.19748,0.92476,0.72759,0.79115,0.53027,1.19325,0.81769,1.19063,0.000854,0.000854,0.000854
18,826.769,1.19743,0.88256,1.19551,0.81826,0.76042,0.79495,0.52176,1.16289,0.86894,1.19798,0.00082925,0.00082925,0.00082925
19,871.535,1.20253,0.86534,1.20364,0.97243,0.59464,0.79861,0.47027,1.17702,0.81918,1.21769,0.0008045,0.0008045,0.0008045
20,915.582,1.17298,0.83391,1.17367,0.96935,0.59637,0.65947,0.43921,1.15182,0.78442,1.17859,0.00077975,0.00077975,0.00077975
21,961.07,1.1901,0.85423,1.19115,0.97567,0.60108,0.721,0.47308,1.14364,0.77529,1.19241,0.000755,0.000755,0.000755
22,1005.19,1.17221,0.82853,1.18364,0.67761,0.78026,0.69784,0.46924,1.15236,0.77639,1.16774,0.00073025,0.00073025,0.00073025
23,1048.97,1.17753,0.82316,1.17324,0.76771,0.77308,0.72093,0.46115,1.16233,0.75895,1.17109,0.0007055,0.0007055,0.0007055
24,1092.61,1.14986,0.8104,1.17024,0.71036,0.78139,0.71932,0.49298,1.14696,0.76438,1.1717,0.00068075,0.00068075,0.00068075
25,1136.37,1.15817,0.79021,1.16585,0.7562,0.77223,0.72818,0.50073,1.14835,0.7355,1.17163,0.000656,0.000656,0.000656
26,1179.79,1.1363,0.77109,1.15399,0.6498,0.78663,0.676,0.45771,1.10096,0.69509,1.14983,0.00063125,0.00063125,0.00063125
27,1224.63,1.14675,0.77538,1.16639,0.73398,0.77667,0.8101,0.55192,1.12876,0.74438,1.15022,0.0006065,0.0006065,0.0006065
28,1269.24,1.1293,0.76636,1.15575,0.72906,0.77961,0.80899,0.58145,1.14262,0.71346,1.16183,0.00058175,0.00058175,0.00058175
