epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.8594,1.49189,2.73641,1.35269,0.79014,0.42941,0.44163,0.27099,1.39075,2.01222,1.32939,0.000413625,0.000413625,0.000413625
2,96.5931,1.39501,1.85607,1.30318,0.89983,0.50997,0.55897,0.33027,1.36431,1.46957,1.31426,0.000820017,0.000820017,0.000820017
3,141.275,1.40581,1.61296,1.31956,0.90004,0.48584,0.56511,0.34657,1.41851,1.34206,1.37369,0.0012161,0.0012161,0.0012161
4,185.582,1.36886,1.43857,1.31149,0.87854,0.51717,0.5961,0.36344,1.38949,1.33836,1.33463,0.00120359,0.00120359,0.00120359
5,229.636,1.36981,1.35007,1.30115,0.8974,0.53235,0.62619,0.37567,1.4253,1.33896,1.32454,0.00118812,0.00118812,0.00118812
6,274.751,1.34706,1.27455,1.28383,0.9057,0.53344,0.59012,0.36443,1.33448,1.18688,1.2723,0.00117266,0.00117266,0.00117266
7,318.669,1.31766,1.21537,1.27244,0.89889,0.5586,0.63781,0.4132,1.32695,1.08929,1.29893,0.00115719,0.00115719,0.00115719
8,362.514,1.30413,1.14387,1.26971,0.71906,0.76828,0.77146,0.50289,1.3052,1.03581,1.25885,0.00114172,0.00114172,0.00114172
9,407.417,1.28383,1.06486,1.24605,0.93466,0.56944,0.66525,0.4271,1.29794,1.02856,1.25468,0.00112625,0.00112625,0.00112625
10,451.753,1.26808,1.0239,1.24095,0.95787,0.59061,0.78702,0.48418,1.25754,0.95445,1.25372,0.00111078,0.00111078,0.00111078
11,495.818,1.26823,1.02633,1.22923,0.95685,0.5837,0.77834,0.4946,1.25094,0.92948,1.22295,0.00109531,0.00109531,0.00109531
12,539.383,1.26428,1.00904,1.24021,0.94727,0.5796,0.6655,0.42608,1.25691,0.91632,1.23407,0.00107984,0.00107984,0.00107984
13,584.549,1.25537,0.9793,1.22797,0.92647,0.68456,0.78125,0.51149,1.20969,0.92633,1.22237,0.00106437,0.00106437,0.00106437
14,628.502,1.2498,0.97123,1.22788,0.62722,0.77038,0.78246,0.51006,1.27003,0.97956,1.21719,0.00104891,0.00104891,0.00104891
15,672.575,1.23606,0.93366,1.21309,0.90058,0.76191,0.7852,0.50462,1.22899,0.87995,1.22416,0.00103344,0.00103344,0.00103344
16,718.152,1.2278,0.92657,1.21492,0.96777,0.58748,0.68269,0.43903,1.23618,0.89454,1.20512,0.00101797,0.00101797,0.00101797
17,762.334,1.22873,0.90607,1.21582,0.66367,0.76566,0.7738,0.51984,1.2366,0.90867,1.24457,0.0010025,0.0010025,0.0010025
18,806.058,1.20609,0.89225,1.20949,0.62578,0.77406,0.71151,0.47131,1.22447,0.87622,1.23292,0.000987031,0.000987031,0.000987031
19,851.259,1.22778,0.89572,1.21654,0.9663,0.59087,0.63941,0.42322,1.21107,0.8504,1.2467,0.000971562,0.000971562,0.000971562
20,894.832,1.18636,0.85849,1.18981,0.59378,0.7772,0.68814,0.46208,1.17074,0.84567,1.1973,0.000956094,0.000956094,0.000956094
21,938.876,1.21346,0.8833,1.21074,0.95745,0.57906,0.65825,0.42486,1.23662,0.83066,1.20849,0.000940625,0.000940625,0.000940625
22,982.504,1.19499,0.85785,1.20111,0.59473,0.77825,0.65622,0.43483,1.19271,0.81238,1.20652,0.000925156,0.000925156,0.000925156
23,1027.33,1.2017,0.84533,1.19405,0.83383,0.74865,0.80066,0.50679,1.19557,0.82818,1.20319,0.000909688,0.000909688,0.000909688
24,1071.36,1.18079,0.84257,1.18845,0.62381,0.78034,0.67627,0.44452,1.20242,0.79935,1.21956,0.000894219,0.000894219,0.000894219
25,1115.04,1.18417,0.81656,1.18291,0.58835,0.7282,0.66506,0.4357,1.18058,0.76895,1.18033,0.00087875,0.00087875,0.00087875
26,1159.78,1.15822,0.80451,1.16825,0.96867,0.60198,0.64551,0.43337,1.16223,0.75598,1.17927,0.000863281,0.000863281,0.000863281
27,1203.61,1.1682,0.80961,1.18091,0.64917,0.7793,0.6881,0.45038,1.1517,0.79593,1.18078,0.000847813,0.000847813,0.000847813
28,1247.34,1.1567,0.80403,1.17335,0.77466,0.76251,0.79876,0.53565,1.19816,0.7828,1.19498,0.000832344,0.000832344,0.000832344
29,1291.94,1.15587,0.78826,1.17458,0.5918,0.66717,0.66999,0.46085,1.14796,0.72715,1.1679,0.000816875,0.000816875,0.000816875
30,1336.53,1.1648,0.78326,1.17738,0.96824,0.60404,0.72539,0.47772,1.14829,0.75805,1.17036,0.000801406,0.000801406,0.000801406
31,1380.61,1.15271,0.77697,1.16735,0.90521,0.73792,0.81003,0.53628,1.12549,0.71488,1.15757,0.000785938,0.000785938,0.000785938
32,1425.1,1.13708,0.77503,1.1618,0.70367,0.78192,0.72638,0.49318,1.14782,0.74141,1.17606,0.000770469,0.000770469,0.000770469
33,1469.58,1.12974,0.75952,1.15644,0.67995,0.78978,0.71161,0.48354,1.1282,0.72185,1.15364,0.000755,0.000755,0.000755
