epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,22.3457,1.43624,4.52195,1.58975,0,0,0,0,1.54643,4.1792,1.82906,0.000264906,8.83019e-05,0.000264906,8.83019e-05,0.000264906,8.83019e-05,0.000264906,8.83019e-05
2,39.8468,1.35369,4.50286,1.53449,0,0,0,0,1.53777,4.1757,1.82233,0.000524315,0.000174772,0.000524315,0.000174772,0.000524315,0.000174772,0.000524315,0.000174772
3,55.6537,1.26002,4.44086,1.47473,0.01587,0.02469,0.01741,0.00598,1.55758,4.14016,1.85941,0.000773031,0.000257677,0.000773031,0.000257677,0.000773031,0.000257677,0.000773031,0.000257677
4,72.822,1.21507,4.3793,1.44721,0.03468,0.14815,0.06449,0.03536,1.47711,4.03471,1.80662,0.000761886,0.000253962,0.000761886,0.000253962,0.000761886,0.000253962,0.000761886,0.000253962
5,88.6939,1.18637,4.28294,1.42787,0.03269,0.18519,0.0815,0.04635,1.40961,3.91537,1.73129,0.000745848,0.000248616,0.000745848,0.000248616,0.000745848,0.000248616,0.000745848,0.000248616
6,104.225,1.14914,4.16879,1.4013,0.03129,0.21605,0.12025,0.06438,1.41057,3.81049,1.7176,0.00072981,0.00024327,0.00072981,0.00024327,0.00072981,0.00024327,0.00072981,0.00024327
7,119.804,1.17082,4.0273,1.40158,0.75188,0.05556,0.14558,0.06615,1.38429,3.69406,1.68716,0.000713772,0.000237924,0.000713772,0.000237924,0.000713772,0.000237924,0.000713772,0.000237924
8,136.105,1.14237,3.87598,1.37772,0.76738,0.05556,0.14649,0.07432,1.41168,3.64991,1.71575,0.000697734,0.000232578,0.000697734,0.000232578,0.000697734,0.000232578,0.000697734,0.000232578
9,151.564,1.19615,3.7921,1.39315,0.77153,0.05556,0.15882,0.08023,1.40426,3.50422,1.69797,0.000681696,0.000227232,0.000681696,0.000227232,0.000681696,0.000227232,0.000681696,0.000227232
10,166.895,1.19722,3.6535,1.41088,0.49994,0.09486,0.16428,0.0931,1.38602,3.33581,1.67741,0.000665658,0.000221886,0.000665658,0.000221886,0.000665658,0.000221886,0.000665658,0.000221886
11,182.195,1.22937,3.54888,1.39955,0.5869,0.11563,0.17809,0.1014,1.35462,3.17628,1.65332,0.00064962,0.00021654,0.00064962,0.00021654,0.00064962,0.00021654,0.00064962,0.00021654
