epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0927,1.78259,3.51645,1.66023,0.03299,0.4026,0.25131,0.12597,1.87473,3.56825,1.74102,0.000408654,0.000408654,0.000408654
2,34.4572,1.68314,2.8473,1.58402,0.63715,0.18604,0.17474,0.07801,1.90368,3.17906,1.84915,0.00081715,0.00081715,0.00081715
3,50.6116,1.6852,2.67769,1.63629,0.74829,0.27901,0.31219,0.15405,1.92397,2.55497,1.87474,0.0012174,0.0012174,0.0012174
4,65.8989,1.70373,2.59084,1.64211,0.58359,0.23117,0.18335,0.08019,1.9093,2.78335,1.86721,0.00121287,0.00121287,0.00121287
5,81.5607,1.65393,2.47105,1.62826,0.57119,0.39895,0.41612,0.1911,1.88982,2.32743,1.85551,0.0012005,0.0012005,0.0012005
6,97.2775,1.63641,2.3097,1.62314,0.8101,0.28043,0.51507,0.24406,1.95421,2.60699,2.06405,0.00118812,0.00118812,0.00118812
7,112.535,1.60991,2.20151,1.58494,0.80437,0.32768,0.53167,0.23638,1.75927,2.65373,1.80323,0.00117575,0.00117575,0.00117575
8,127.846,1.59836,2.09575,1.58728,0.8156,0.5276,0.57967,0.29591,1.62327,1.99342,1.68709,0.00116337,0.00116337,0.00116337
9,142.929,1.55322,2.01845,1.53635,0.90928,0.39907,0.62536,0.39079,1.50281,1.98783,1.5854,0.001151,0.001151,0.001151
10,158.31,1.54031,2.00591,1.55291,0.60524,0.55224,0.47236,0.26607,1.68732,2.04254,1.66504,0.00113863,0.00113863,0.00113863
11,174.16,1.53072,1.91909,1.51346,0.77231,0.36291,0.49244,0.24642,1.59412,1.85287,1.60911,0.00112625,0.00112625,0.00112625
12,189.344,1.52266,1.88907,1.52759,0.88502,0.38128,0.63441,0.39337,1.54983,1.7445,1.5594,0.00111388,0.00111388,0.00111388
13,204.65,1.51928,1.90315,1.53767,0.58988,0.63718,0.58086,0.33935,1.52824,1.82678,1.56882,0.0011015,0.0011015,0.0011015
14,219.711,1.50171,1.88513,1.52115,0.76994,0.56389,0.65674,0.38632,1.49252,1.67097,1.53085,0.00108913,0.00108913,0.00108913
15,234.954,1.50814,1.83125,1.48663,0.70341,0.60253,0.62768,0.3751,1.4694,1.7822,1.50609,0.00107675,0.00107675,0.00107675
16,251.154,1.46314,1.75645,1.46906,0.51039,0.41777,0.46586,0.24667,1.53625,1.70421,1.53068,0.00106437,0.00106437,0.00106437
17,266.343,1.45385,1.77249,1.45482,0.51965,0.61014,0.53518,0.32045,1.45501,1.68276,1.47923,0.001052,0.001052,0.001052
18,281.43,1.4499,1.78077,1.47744,0.72539,0.65497,0.66993,0.4053,1.38757,1.62555,1.47003,0.00103962,0.00103962,0.00103962
19,296.909,1.46511,1.75417,1.46282,0.86959,0.43887,0.52925,0.29646,1.51986,1.65513,1.50616,0.00102725,0.00102725,0.00102725
20,312.644,1.40978,1.67788,1.44993,0.68205,0.63157,0.59694,0.3431,1.49644,1.66293,1.54973,0.00101488,0.00101488,0.00101488
21,328.539,1.43429,1.73181,1.44387,0.90254,0.43895,0.53999,0.3069,1.47964,1.61813,1.57232,0.0010025,0.0010025,0.0010025
